ID                       |Name                     |Age                      |Grade                    |Favourite Subjects       
=========================|=========================|=========================|=========================|=========================
01                       |Alice Adams              |13                       |8                        |English, Art, Music      
02                       |Bob Baker                |14                       |9                        |Math, History, PE        
03                       |Claire Campbell          |15                       |10                       |Science, English, Music  
01                       |Alice Adams              |13                       |8                        |English, Art, Music      
02                       |Bob Baker                |14                       |9                        |Math, History, PE        
03                       |Claire Campbell          |15                       |10                       |Science, English, Music  
04                       |David Davis              |13                       |8                        |Math, PE, Art            
05                       |Emily Evans              |14                       |9                        |English, Science, History
06                       |Frank Ford               |15                       |10                       |Math, English, Art       
07                       |Grace Garcia             |13                       |8                        |Science, PE, Math        
08                       |Henry Hill               |14                       |9                        |History, Music, English  
09                       |Ivy Johnson              |15                       |10                       |Math, Science, History   
10                       |Jack King                |13                       |8                        |English, Art, Music      
11                       |Kate Kelly               |14                       |9                        |Math, History, PE        
12                       |Liam Lee                 |15                       |10                       |Science, English, Music  
13                       |Mia Moore                |13                       |8                        |Math, PE, Art            
14                       |Noah Nelson              |14                       |9                        |English, Science, History
15                       |Olivia Owens             |15                       |10                       |Math, English, Art       
16                       |Paul Parker              |13                       |8                        |Science, PE, Math        
17                       |Quinn Quinn              |14                       |9                        |History, Music, English  
18                       |Rose Roberts             |15                       |10                       |Math, Science, History   
19                       |Sam Smith                |13                       |8                        |English, Art, Music      
20                       |Tina Taylor              |14                       |9                        |Math, History, PE        
